Node ID,openEHR Name,EHDS Name,openEHR Description,openEHR Comment,EHDS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EHDS Cardinality,EHDS Binding,Concept Map,openEHR Path,EHDS Path,MappingNotes
,Laterality,laterality,The side of the body on which the identified body site is located.,If the 'Body site name' includes a pre-coordinated term that already specifies laterality this data element may be redundant. If the findings require documentation of a body site on both the left and right sides of the body or involving both sides of a paired structure or region use 'Left and right' only when the same anatomical site is affected on both sides and side-specific detail is not required. If the findings differ significantly between sides each should be recorded as a separate instance of this archetype with the appropriate laterality.,Body structure laterality (e.g. left right).,0..1,CodedText," Left local:at0003
 Right local:at0004
 Left and right local:at0083",0..1,SNOMED CT,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.anatomical_location.v1]/items[at0002]/value,EHDSBodyStructure.laterality,
,Description,description,Narrative description that can be used to further refine and support the 'Body site name'.,For example: adjacent to the vermilion border; a tattoo covers the bottom half of this area.,Textual description of the body structure,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.anatomical_location.v1]/items[at0023]/value,EHDSBodyStructure.description,
openEHR-EHR-CLUSTER.device.v1,Medical device,EHDSDevice,An instrument apparatus implant material or similar used in the provision of healthcare. In this context a medical device includes a broad range of devices which act through a variety of physical mechanical thermal or similar means but specifically excludes devices which act through medicinal means such as pharmacological metabolic or immunological methods.  The scope is inclusive of disposable devices as well as durable or persisting devices that require tracking maintenance activities or regular calibration recognising that each type of device has specific data recording requirements.,,EHDS refined base model for Device information,0..*,Cluster,,0..*,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1],EHDSDevice,
,Device name,name,Identification of the medical device preferably by a common name a formal fully descriptive name or if required by class or category of device.,"This data element will capture the term phrase or category used in clinical practice. For example: <brand name><machine> (XYZ Audiometer); <size> <brand name> <intravenous catheter> (14G Jelco IV catheter); or <brand name/type> <implant>. Coding with a terminology is desirable where possible although this may be local and depending on local supplies available.
",The name and name type of the device as known to the manufacturer and/or patient,1..1,Text,,0..*,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0001]/value,EHDSDevice.name,Cardinality doesn't match
,Type,type,The category or kind of device.,"Not applicable if a category is already recorded in 'Device name'.
 Example: if the 'Device' is named as a 'urinary catheter'; the 'Type' may be recorded as 'indwelling' or 'condom'.Coding with a terminology is desirable where possible. This may include use of GTIN or EAN numbers.",Device type,0..1,Text,,0..*,SNOMED CT EMDN,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0003]/value,EHDSDevice.type,Cardinality doesn't match
,Unique device identifier (UDI),identifier,A numeric or alphanumeric string that is associated with this device within a given system.,Often fixed to the device as a barcode.,Normalised identifier of the device instance such as UDI according to REGULATION (EU) 2017/745. Multiple identifiers can be used.,0..1,Identifier,,1..*,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0021]/value,EHDSDevice.identifier,"The Medical device CLUSTER archetype has ‘Unique device identifier’ (0..1) and ‘Other identifier’ (0..*) data elements - we have mapped identifier to both. Cardinality doesn’t match, as it is currently very hard to specify a constraint that at least one of those two data elements needs to exist."
,Manufacturer,manufacturer,Name of manufacturer.,,Name of device manufacturer,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0004]/value,EHDSDevice.manufacturer,
,Date of manufacture,manufactureDate,Date the device was manufactured.,,The date and time when the device was manufactured,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0005]/value,EHDSDevice.manufactureDate,
,Serial number,serialNumber,Number assigned by the manufacturer which can be found on the device and should be specific to each device. its label or accompanying packaging.,,Serial number assigned by the manufacturer,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0020]/value,EHDSDevice.serialNumber,
,Model number,modelNumber,The exact model number assigned by the manufacturer and found on the device label or accompanying packaging.,,The manufacturer's model number for the device,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0023]/value,EHDSDevice.modelNumber,
,Batch/Lot number,lotNumber,The number assigned by the manufacturer which identifies a group of items manufactured at the same time usually found on the label or packaging material.,,Lot number of manufacture,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0006]/value,EHDSDevice.lotNumber,
,Software version,version,Identification of the version of software being used in the medical device.,When the medical device is an actual software application record the version of the software using this data element. When the medical device has multiple software applications embedded within it record each software component in a separate CLUSTER archetype within the Components SLOT - either as a nested instance of another CLUSTER.device archetype or using a CLUSTER archetype designed specifically for recording software details (but not yet available at time of this archetype development).,The actual design of the device or software version running on the device,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0025]/value,EHDSDevice.version,
,Date of expiry,expiryDate,Date after which the device/product is no longer fit for use usually found on the device itself or printed on the accompanying packaging.,This date usually applies only to single use or disposable devices.,The date and time beyond which this device is no longer valid or should not be used (if applicable).,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0007]/value,EHDSDevice.expiryDate,
,Other identifier,identifier,Unspecified identifier which can be further specified in a template or at run time.,Coding of the name of the identifier with a coding system is desirable if available.,Normalised identifier of the device instance such as UDI according to REGULATION (EU) 2017/745. Multiple identifiers can be used.,0..*,Identifier,,1..*,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0024]/value,EHDSDevice.identifier,"The Medical device CLUSTER archetype has ‘Unique device identifier’ (0..1) and ‘Other identifier’ (0..*) data elements - we have mapped identifier to both. Cardinality doesn’t match, as it is currently very hard to specify a constraint that at least one of those two data elements needs to exist."
,Comment,note,Additional narrative about the device not captured in other fields.,,Device notes and comments,0..1,Text,,0..*,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0008]/value,EHDSDevice.note,Cardinality doesn't match
,End date,endDate,Date when the device stopped being used or was removed.,,Date when the device was explanted from the patient or the external device was no longer in use.,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[at0009]/value,EHDSDeviceUse.endDate,
